1.089797400E+00,7.146272500E-15,7.146272500E-15,7.146272500E-15,2.926859600E-15,6.796036000E-15,9.321740700E-17,9.174990000E-17,9.174990000E-17,1.752790800E-21,3.388804000E-17
1.093149500E+00,6.841619500E-15,6.841619500E-15,6.841619500E-15,2.847709800E-15,6.514980000E-15,9.234806100E-17,9.090035100E-17,9.090035100E-17,1.693426200E-21,3.340470700E-17
1.096511900E+00,6.557079600E-15,6.557079600E-15,6.557079600E-15,2.771564100E-15,6.251828300E-15,9.150571000E-17,9.007721400E-17,9.007721400E-17,1.636695700E-21,3.289473600E-17
1.099884600E+00,6.290797400E-15,6.290797400E-15,6.290797400E-15,2.698270700E-15,6.004989200E-15,9.069006700E-17,8.928021600E-17,8.928021600E-17,1.582477000E-21,3.235833300E-17
1.103267700E+00,6.041137500E-15,6.041137500E-15,6.041137500E-15,2.627687400E-15,5.773053600E-15,8.990087100E-17,8.850911000E-17,8.850911000E-17,1.530653000E-21,3.170198700E-17
1.106661200E+00,5.806653300E-15,5.806653300E-15,5.806653300E-15,2.559681300E-15,5.554768900E-15,8.913788800E-17,8.776367300E-17,8.776367300E-17,1.481112500E-21,2.951653400E-17
1.110065100E+00,5.586060300E-15,5.586060300E-15,5.586060300E-15,2.494127600E-15,5.349018300E-15,8.840090900E-17,8.704370900E-17,8.704370900E-17,1.433749300E-21,2.746597300E-17
1.113479500E+00,5.378214200E-15,5.378214200E-15,5.378214200E-15,2.430909600E-15,5.154802700E-15,8.768975400E-17,8.634904800E-17,8.634904800E-17,1.388462400E-21,2.554347500E-17
1.116904400E+00,5.182091900E-15,5.182091900E-15,5.182091900E-15,2.369917300E-15,4.971225700E-15,8.700427000E-17,8.567954800E-17,8.567954800E-17,1.345155300E-21,2.374243000E-17
1.120339800E+00,4.996776600E-15,4.996776600E-15,4.996776600E-15,2.311047600E-15,4.797480700E-15,8.634433100E-17,8.503509300E-17,8.503509300E-17,1.303736000E-21,2.205645900E-17
1.123785900E+00,4.821443500E-15,4.821443500E-15,4.821443500E-15,2.254203300E-15,4.632840000E-15,8.570984200E-17,8.441559600E-17,8.441559600E-17,1.264117000E-21,2.047940900E-17
1.127242500E+00,4.655349400E-15,4.655349400E-15,4.655349400E-15,2.199293100E-15,4.476645400E-15,8.510073600E-17,8.382100000E-17,8.382100000E-17,1.226214800E-21,1.900534900E-17
1.130709700E+00,4.497822100E-15,4.497822100E-15,4.497822100E-15,2.146230800E-15,4.328299900E-15,8.451697700E-17,8.325127800E-17,8.325127800E-17,1.189949800E-21,1.762857600E-17
1.134187600E+00,4.348252600E-15,4.348252600E-15,4.348252600E-15,2.094935100E-15,4.187261200E-15,8.395856100E-17,8.270643200E-17,8.270643200E-17,1.155246200E-21,1.634360300E-17
1.137676200E+00,4.206087900E-15,4.206087900E-15,4.206087900E-15,2.045329400E-15,4.053035100E-15,8.342551600E-17,8.218649900E-17,8.218649900E-17,1.122031600E-21,1.514516800E-17
1.141175500E+00,4.070824400E-15,4.070824400E-15,4.070824400E-15,1.997341100E-15,3.925170500E-15,8.291790500E-17,8.169154700E-17,8.169154700E-17,1.090237200E-21,1.402822200E-17
