230042124459.81546,1742490.606712958
690172344990.2356,1742316.3000595171
1150302565520.6558,1742141.9759661597
1610432786051.0757,1741967.634427651
2070563006581.4958,1741793.2754387527
2530693227111.916,1741618.898994223
2990823447642.336,1741444.5050888185
3450953668172.7563,1741270.093717293
3911083888703.1763,1741095.6648743981
4371214109233.596,1740921.2185548814
4831344329764.017,1740746.7547534888
5291474550294.437,1740572.2734649647
5751604770824.856,1740397.774684048
6211734991355.276,1740223.2584054777
6671865211885.697,1740048.7246239881
7131995432416.117,1739874.1733343129
7592125652946.537,1739699.6045311817
8052255873476.957,1739525.018209322
8512386094007.377,1739350.414363458
8972516314537.799,1739175.7929883115
9432646535068.219,1739001.1540786033
9892776755598.639,1738826.4976290492
10352906976129.059,1738651.823634363
10813037196659.479,1738477.1292289887
11273167417189.898,1738302.39927296
11733297637720.318,1738127.6517517325
12193427858250.738,1737952.8866600082
12653558078781.16,1737778.1039924852
13113688299311.58,1737603.303743861
13573818519842.0,1737428.4859088284
14033948740372.42,1737253.650482078
14494078960902.84,1737078.797458299
14954209181433.26,1736903.9268321758
15414339401963.68,1736729.038598392
15874469622494.1,1736554.132751628
16334599843024.52,1736379.2092865605
16794730063554.94,1736204.2681978652
17254860284085.36,1736029.3094802133
17714990504615.78,1735854.3331282756
18175120725146.2,1735679.3391367176
18635250945676.62,1735504.327500204
19095381166207.04,1735329.2982133965
19555511386737.46,1735154.251270953
20015641607267.883,1734979.18666753
20475771827798.3,1734804.103189952
20935902048328.723,1734628.9889913958
21396032268859.14,1734453.8571129327
21856162489389.562,1734278.7075492067
22316292709919.98,1734103.5402948598
22776422930450.402,1733928.3553445293
23236553150980.82,1733753.1526928511
23696683371511.242,1733577.9323344596
24156813592041.66,1733402.6942639835
24616943812572.082,1733227.4384760517
25077074033102.504,1733052.164965288
25537204253632.92,1732876.873726316
25997334474163.344,1732701.5647537543
26457464694693.76,1732526.2380422198
26917594915224.184,1732350.8935863266
27377725135754.6,1732175.5313806857
27837855356285.023,1732000.1514199069
28297985576815.44,1731824.7536985949
28758115797345.863,1731649.3382113527
29218246017876.28,1731473.9049527815
29678376238406.703,1731298.4539174784
30138506458937.125,1731122.985100039
30598636679467.543,1730947.4984950547
31058766899997.965,1730771.9940971155
31518897120528.383,1730596.471900808
31979027341058.805,1730420.9319007157
32439157561589.223,1730245.3740914203
32899287782119.645,1730069.7984675004
33359418002650.062,1729894.205023531
33819548223180.484,1729718.5937540862
34279678443710.902,1729542.964653735
34739808664241.324,1729367.3177170455
35199938884771.74,1729191.6529385822
35660069105302.164,1729015.9703129076
36120199325832.58,1728840.2698345797
36580329546363.0,1728664.551498156
37040459766893.42,1728488.8152981894
37500589987423.84,1728313.0612292313
37960720207954.26,1728137.2892858295
38420850428484.68,1727961.499462529
38880980649015.1,1727785.6917538731
39341110869545.52,1727609.866154401
39801241090075.945,1727434.0226586503
40261371310606.36,1727258.1612611543
40721501531136.78,1727082.2819564452
41181631751667.2,1726906.384739051
41641761972197.625,1726730.4696034982
42101892192728.04,1726554.5365443097
42562022413258.46,1726378.5855560054
43022152633788.88,1726202.616633103
43482282854319.305,1726026.6297701173
43942413074849.72,1725850.6249615601
44402543295380.14,1725674.6022019405
44862673515910.56,1725498.5614857646
45322803736440.984,1725322.5028075362
45782933956971.41,1725146.4369973883
46243064177501.82,1724970.364370706
46703194398032.24,1724794.2737699556
47163324618562.664,1724618.1651896315
47623454839093.086,1724442.0386242252
48083585059623.5,1724265.8940682255
48543715280153.92,1724089.731516118
49003845500684.34,1723913.550962386
49463975721214.766,1723737.352401509
49924105941745.19,1723561.1358279658
50384236162275.6,1723384.90123623
50844366382806.02,1723208.6486207738
51304496603336.445,1723032.3779760657
51764626823866.87,1722856.09598948
52224757044397.28,1722679.8048551518
52684887264927.7,1722503.4956781527
53145017485458.125,1722327.1684529413
53605147705988.55,1722150.8231739746
54065277926518.96,1721974.4598357058
54525408147049.38,1721798.0784325849
54985538367579.805,1721621.67895906
55445668588110.23,1721445.2614095765
55905798808640.65,1721268.8257785756
56365929029171.06,1721092.372060497
56826059249701.484,1720915.9002497767
57286189470231.91,1720739.3969820382
57746319690762.33,1720562.8678881098
58206449911292.74,1720386.3206805051
58666580131823.164,1720209.7553536473
59126710352353.586,1720033.171901956
59586840572884.01,1719856.5703198488
60046970793414.43,1719679.95060174
60507101013944.84,1719503.3127420403
60967231234475.266,1719326.6567351595
61427361455005.69,1719149.982575502
61887491675536.11,1718973.2902574716
62347621896066.52,1718796.5797754677
62807752116596.945,1718619.8511238883
63267882337127.37,1718443.1042971264
63728012557657.79,1718266.3392895742
64188142778188.21,1718089.5560956197
64648272998718.625,1717912.7547096482
65108403219249.05,1717735.9351260427
65568533439779.47,1717559.0973391833
66028663660309.89,1717382.2413434463
66488793880840.305,1717205.367133206
66948924101370.73,1717028.4747028328
67409054321901.15,1716851.564046696
67869184542431.57,1716674.6351591598
68329314762961.984,1716497.6880345873
68789444983492.41,1716320.722667338
69249575204022.83,1716143.7390517676
69709705424553.25,1715966.7371822307
70169835645083.67,1715789.7170530774
70629965865614.1,1715612.6786586558
71090096086144.52,1715435.621993311
71550226306674.92,1715258.5470513843
72010356527205.34,1715081.4504233503
72470486747735.77,1714904.3246052635
72930616968266.19,1714727.180490648
73390747188796.61,1714550.0180738322
73850877409327.03,1714372.8373491429
74311007629857.45,1714195.6383109025
74771137850387.88,1714018.4209534316
75231268070918.3,1713841.1852710466
75691398291448.7,1713663.9312580626
76151528511979.12,1713486.6589087907
76611658732509.55,1713309.3682175386
